time,in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type
2024-04-08 15:22:37,2,0,36,38,0,1,0
2024-04-08 15:22:40,2,0,29,30,0,1,0
2024-04-08 15:23:25,14,0,141,141,0,0,1
2024-04-08 15:23:31,35,0,103,81,0,0,1
2024-04-08 15:23:33,27,0,99,113,0,0,1
2024-04-08 15:24:36,30,0,178,157,0,0,1
2024-04-08 15:24:38,20,0,96,91,0,0,1
2024-04-08 15:25:18,0,17,75,84,0,0,0
2024-04-08 15:25:40,42,0,239,233,0,0,1
2024-04-08 15:27:24,6,0,28,32,1,0,1
2024-04-08 15:27:24,0,9,53,54,0,1,0
2024-04-08 15:27:26,4,0,75,86,1,0,1
2024-04-08 15:27:28,30,0,101,98,1,0,1
2024-04-08 15:28:07,22,0,63,50,0,0,1
2024-04-08 15:28:11,11,0,155,159,0,0,1
2024-04-08 15:28:14,15,0,86,84,0,0,1
2024-04-08 15:28:17,20,0,90,80,0,0,1
2024-04-08 15:28:20,16,0,54,47,0,0,1
2024-04-08 15:28:21,7,0,37,35,1,0,1
2024-04-08 15:28:21,17,0,69,77,0,0,1
2024-04-08 15:28:22,2,0,54,54,0,0,1
2024-04-08 15:28:23,15,0,73,55,0,0,1
2024-04-08 15:28:26,10,0,104,107,0,0,1
2024-04-08 15:28:38,29,0,152,136,0,0,1
2024-04-08 15:28:40,13,0,32,31,0,0,1
2024-04-08 15:28:43,39,0,133,162,0,0,1
2024-04-08 15:29:20,6,0,136,160,0,1,1
2024-04-08 15:30:13,35,0,67,105,1,0,1
2024-04-08 15:31:13,0,71,97,124,1,0,0
2024-04-08 15:36:52,0,18,52,51,1,0,0
2024-04-08 15:49:14,23,0,58,132,1,0,1
2024-04-08 15:59:36,0,20,78,83,0,0,0
2024-04-08 16:03:08,0,21,40,41,0,0,0
2024-04-08 16:05:32,0,20,98,117,0,1,0
2024-04-08 16:08:02,0,25,46,51,1,0,0
2024-04-08 16:09:12,9,0,137,171,1,0,1
2024-04-08 16:14:47,0,6,33,38,0,1,0
2024-04-08 16:14:58,0,8,43,42,0,1,0
2024-04-08 16:15:04,0,8,52,54,0,1,0
2024-04-08 16:15:08,0,25,66,80,0,0,0
2024-04-08 16:15:09,0,9,29,35,0,1,0
2024-04-08 16:15:22,0,18,86,86,0,0,0
2024-04-08 16:15:23,0,12,33,33,0,0,0
2024-04-08 16:15:24,0,5,38,34,0,0,0
2024-04-08 16:15:32,0,4,54,39,0,1,0
2024-04-08 16:15:33,0,34,45,68,0,0,0
2024-04-08 16:15:33,0,4,27,14,0,1,0
2024-04-08 16:15:34,20,8,52,48,0,1,1
2024-04-08 16:15:37,0,7,37,37,0,0,0
